,,,,,,,,
Roles,Assessment List & Passing Rate,,,,,,,
Business Consultant,Pitching F&B ,Pitching Retail,SPIN ,Closing 1,Closing 2,Full Pitching F&B,Full Pitching Retail,
,80%,80%,80%,80%,80%,80%,80%,
,,,,,,,,
Sales Coordinator,Mimic Full Call,Objection Handling F&B,Objection Handling Retail,Full Call assessments,Mock Test F&B,Mock Test Retail,,
,80%,80%,80%,80%,80%,80%,,
,,,,,,,,
Merchant Care,Hardware Setup,Mock Test 1,Mock Test 2,Mock Test 3,,,,
,80%,80%,80%,80%,,,,
,,,,,,,,
Merchant Onboarding Manager,Hardware Setup,Basic Troubleshooting,Training Assessment F&B,Training Assessment Retail,Welcome Call,Go Live Call,Mock Test F&B,Mock Test Retail
,80%,80%,80%,80%,80%,80%,80%,80%
,,,,,,,,
Customer Success Manager,Hardware Setup,Basic Troubleshooting,AM Assessment,Roleplay 1,Roleplay 2,,,
,80%,80%,80%,80%,80%,,,
,,,,,,,,
Onboarding Specialist,Hardware Setup,Basic Troubleshooting,Training Assessment F&B,Training Assessment Retail,Mock Test F&B,Mock Test Retail,,
,80%,80%,80%,80%,80%,80%,,
,,,,,,,,
Onboarding Coordinator,Hardware Setup,,,,,,,
,80%,,,,,,,