,,,,,,,,,,,,,,,,,,,,,
Day,Time,Hours,Topic,Details and Resources,PIC,,,,,,,,,,,,,,,,
3,09:30am - 11:30am,2,Advanced System Navigation.pptx ,"Player: Topic covers reports, CSV import/export, Promotion, Pricebooks. Advance knowledge on features, QR order and pay, Beep delivery, Membership, engage, etc. 

Trainer: To keep track of time and ensure player complete in a timely manner",Player,,,,,,,,,,,,,,,,
,11:30am - 01:00pm,1.5,Advanced Troubleshooting.pptx ,"Player: Self study on basic networking & troubleshooting for printers issue such as IP Address, feed test, reset printer, configure printer

Trainer: To keep track of time and ensure player complete in a timely manner",Player,,,,,,,,,,,,,,,,
,01:00pm - 02:00pm,1,Lunch,,,,,,,,,,,,,,,,,,
,02:00pm - 02:30pm,0.5,Quick Sync Up,Trainer: Conduct a quick sync up to address players concern on topics that they have learned.,Trainer,,,,,,,,,,,,,,,,
,02:30pm - 03:30pm,1,Advance System & Networking Quiz,"Player: Complete 35 questions. Achieve a minimal score of 80%, there will be no retake. Use slides as reference as this is an open book test

Quiz link: here",Player,,,,,,,,,,,,,,,,
,03:30pm - 05:30pm,2,Brand Servicing.pptx ,Player: Self-study essential soft skills to effectively demonstrate when interacting with merchants.,Player,,,,,,,,,,,,,,,,
,05:30pm - 06:30pm,1,[AM] - Tools & Supply Chain.pptx ,"Player: Self study all internal tools such as Intercom, Aircall, etc also understand the process of supply chain
",Player,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,09:30am - 10:30am,1,Hardware Assessment ,"Player: Demonstrate basic troubleshooting, refer to knowledge based on the scenario given. Achieve a minimal score of 80%

Trainer: Evaluate players based on the list below and assess 
1. Give a scenario and player assmble hardwares
2. Search Printer
3. How to conduct Feed Test 
4. Reset Printer 
5. Configure Printer 
6. Fix IP Address",Trainer,,,,,,,,,,,,,,,,
,10:30am - 12:00pm,1.5,Buddy Session!  with AM,"Player: 
1. Have a buddy session with AM to understand day to day duties
2. Take notes in the Buddy Checklist provided during buddy sessions with AM
3. List down every information they've learned
4. Senior player will need to comment in the Buddy checklist, leaving a review of the player.

Trainer:
1. Ensure player has access to Buddy Checklist
2. Lock seniors time 2 days in advance
3. Keep track of the time
",Player,,,,,,,,,,,,,,,,
,,1,Lunch,,Player,,,,,,,,,,,,,,,,
,01:00pm - 06:30pm,5.5,AM Assessment ,Player: Review AM Assessment and start to work on the assessment submit by EOD and share it with coach by end of the day.,Player,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5,09:30am - 10:30am,1,Mock Test Flow! ,"Trainer: Explain about Mock Flow, explain what to expect during Mock and scorecard",Player,,,,,,,,,,,,,,,,
,10:30am - 12:00pm,1.5,Review Session with Coach,"Player: Present the AM assessment that was given on Day 4 to coach

Trainer: Coordinate the schedule between Coach and Player

TL:Complete scoring of the player
",Player,,,,,,,,,,,,,,,,
,12:00pm - 01:00pm,1,Lunch,,Player,,,,,,,,,,,,,,,,
,01:00pm - 02:00pm,1,"PH:[PH Only] BIR Training.pptx 
MY: Mock Preparation","Player:
PH - Study BIR slides 

MY - Quick recap on all training slides from Day 1 - 2",Player,,,,,,,,,,,,,,,,
,02:00pm - 04:00pm,2,Mock Test!,"Player: AM will go through 2 rounds of Roleplay with coach, based on the situation that will be given spontaneously 

Trainer: To lock Player and TL's schedule in advance

TL: Come in prepared to test and score the player",Player,,,,,,,,,,,,,,,,
,04:00pm - 06:30pm,Handover to TL,,,,,,,,,,,,,,,,,,,