,,,,,
,,,,,
,,,,,
Evaluator Name,,,,,
Scenario,,,,,
Categories,Attributes,Result,Score,Remarks,Overall
Compliance,Code of Conduct,Pass,,,Pass
Greetings,Welcome,Yes,0.5,,10
,Closing,Yes,0.5,,
Process,Process Adherence,Yes,0.5,,35
,Information Accuracy,Yes,1.0,,
,Relevance,Yes,0.5,,
,Alternative Solutions,Yes,0.5,,
,Follow Up,Yes,0.5,,
,Organized Guidance,Yes,0.5,,
Effective Handling,Active Listening,Yes,0.5,,35
,Probing,Yes,0.5,,
,Professionalsm,Yes,1.0,,
,Positive Language & Empathy,Yes,0.5,,
,Communication Flow,Yes,0.5,,
,Courteous,Yes,0.5,,
Final Score,,,,,100%